#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	Bc34	Bc35	Bc36	Bc37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC49	BC50	BC52	BC53	BC54
OTU_34	227	435	28	19	99	21	207	47	153	73	610	300	50	39	381	125	47	319	246	72	57	204	12	36	48	40	47	83	25	407	183	19	91	3	50	30	33	15	24	56	30	63	29	7	56	42	66	69
OTU_14859	7	4	0	0	5	8	1	10	0	1	42	27	0	2	1	2	3	64	11	3	4	4	5	6	10	3	2	10	3	1	0	3	4	0	9	5	8	7	4	4	2	8	10	1	7	5	12	16
OTU_36	162	25	73	10	38	41	22	50	57	79	882	216	7	75	47	29	57	639	340	11	100	68	150	22	15	25	27	44	5	24	131	40	658	1	5	9	16	5	6	5	13	28	22	3	29	32	70	24
OTU_17	1013	639	218	111	463	314	438	250	778	299	3217	1248	121	165	505	285	323	2392	2380	211	463	624	990	37	130	148	157	277	156	496	200	24	812	21	218	197	175	129	126	189	188	270	194	18	146	186	323	297
OTU_27782	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	5493	1839	1435	1310	1460	1538	1724	1777	2098	2982	26618	12234	1968	1663	5707	3207	2194	27368	18441	3032	4082	7146	3572	398	2421	2411	2039	2771	2600	114	623	84	2169	459	3219	2715	1960	1849	2942	2654	2028	2264	1878	198	1263	1699	1920	1365
OTU_23278	15	1	5	7	2	7	5	7	7	8	64	33	5	1	18	10	5	75	68	6	3	9	6	1	9	4	3	3	19	0	0	0	6	2	9	2	5	2	11	12	9	14	10	2	2	2	3	2
OTU_31313	210	1	4478	0	1	2	0	1	0	0	981	4	4	51	31	4	1	9	15	3401	3	351	6	31	11	6	2	0	0	0	0	0	0	2	3	2	4	3	4	3	4	58	3	0	2	0	0	0
OTU_21906	44	65	0	0	3	0	0	1	3	2	13	6	3	1	13	2	0	2	66	3	5	5	1	0	0	0	1	3	0	23	0	3	0	0	2	0	1	0	0	1	0	0	5	0	4	0	0	11
OTU_8949	51	41	5	4	3	0	116	1	3	4	20	5	32	9	19	6	1	5	16	37	10	13	3	7	11	7	4	4	5	26	0	0	1	1	1	1	3	10	0	1	3	8	13	0	4	8	2	7
OTU_4942	84	25	16	11	14	8	20	31	21	34	240	76	15	44	40	33	19	99	116	30	29	89	32	21	66	56	55	72	84	9	73	43	23	10	55	41	46	33	52	61	39	50	50	3	37	48	38	70
OTU_4015	14	6	18	9	5	1	1	13	6	8	89	24	2	5	42	2	7	20	40	8	2	16	6	0	6	31	12	20	40	0	3	2	1	0	14	12	6	11	14	6	7	9	11	0	14	6	27	22
OTU_18608	2	0	0	0	0	2	1	1	0	0	11	1	0	5	8	0	0	1	4	0	0	2	1	0	2	2	1	7	3	0	0	1	0	0	1	7	1	2	3	7	0	0	0	0	1	4	1	1
OTU_8893	98	11	17	5	14	11	9	16	22	22	126	49	5	8	45	9	4	45	146	9	7	40	12	2	22	13	12	18	22	10	3	1	5	2	17	15	7	20	18	6	14	30	16	1	10	5	9	9
OTU_11530	30	22	44	4	10	8	14	15	22	11	187	105	4	20	38	13	8	62	76	32	18	44	22	27	35	41	10	53	28	8	8	23	21	3	33	33	30	13	24	31	13	30	48	1	21	36	26	37
OTU_6059	119	182	29	6	100	10	26	21	87	31	108	47	9	20	129	10	14	62	78	37	19	77	138	9	18	13	17	37	16	193	38	14	6	1	25	8	19	15	20	21	20	38	30	0	9	19	30	30
OTU_497	489	112	91	78	90	68	26	137	102	184	1422	558	58	107	228	133	122	1125	705	97	221	334	1036	40	163	220	135	215	152	12	18	47	161	23	225	135	155	112	136	153	124	161	188	5	126	128	224	103
OTU_2002	177	73	49	13	63	21	235	63	76	61	591	191	11	59	144	57	66	329	310	41	35	138	47	18	62	48	74	109	9	52	42	20	71	3	100	72	36	51	35	87	54	116	106	2	34	100	126	77
OTU_1621	118	119	68	22	37	28	263	54	69	99	453	192	22	60	162	81	57	364	233	64	63	136	75	13	78	115	90	101	96	56	21	21	68	7	121	95	72	51	70	75	72	43	97	8	52	72	104	113
OTU_1808	157	90	71	9	48	39	55	14	39	49	290	136	18	37	98	25	26	111	143	56	11	98	59	10	50	68	44	64	41	48	13	7	20	2	73	59	26	18	29	53	26	67	40	3	45	64	33	43
OTU_650	209	112	36	22	41	18	18	59	72	86	506	185	34	85	252	53	26	330	363	42	82	179	134	24	63	70	71	131	40	89	51	12	32	10	109	57	49	48	54	70	50	122	88	7	40	104	129	68
OTU_10427	32	10	0	3	5	2	139	3	58	8	18	7	5	22	16	1	6	3	44	17	11	39	1	0	3	0	0	10	2	0	0	0	2	0	2	0	0	3	0	0	0	9	2	0	3	0	3	0
OTU_14651	4	0	0	0	0	0	0	3	0	2	25	3	0	0	0	3	0	3	39	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_1066	307	89	59	42	45	30	40	93	61	107	755	423	58	62	206	71	44	340	447	81	113	269	91	63	143	153	209	198	138	22	56	14	70	40	271	198	133	96	180	180	108	207	141	6	135	133	164	119
OTU_21847	57	2	0	5	2	6	0	8	13	4	101	46	6	1	2	9	8	7	17	4	13	13	3	1	2	11	8	7	5	0	0	0	20	1	6	1	3	9	3	22	6	6	15	0	3	9	1	8
OTU_965	46	16	17	19	36	0	27	19	16	15	168	124	25	22	47	27	10	149	220	49	44	58	3	8	15	23	29	28	31	1	1	1	16	5	30	37	19	20	23	47	23	19	14	2	20	48	23	24
OTU_74	37	7	14	0	0	0	0	7	12	24	215	30	1	4	9	9	11	181	98	3	40	10	0	1	3	0	2	0	0	19	12	1	15	0	0	1	0	2	5	1	5	4	4	0	1	2	0	0
OTU_1144	338	90	41	40	90	126	32	91	102	136	915	509	52	81	165	147	84	618	422	117	69	339	442	53	160	137	188	223	145	91	218	39	109	27	244	198	172	122	170	211	147	179	190	10	187	115	226	158
