Target,Fold,Model,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
ZOTUs,3,Linear,-0.3553935331698981,0.35094910935706347,1725.7189645997603,1140.5934256739324,1441.9803120282256,786.7958854946407
ZOTUs,3,Ridge,-0.08322080795830789,0.25665379564869084,1542.7510977903057,1220.6384694607011,1179.157911733785,825.4506140312543
ZOTUs,3,RF,-0.4185711041717204,0.6914830871263626,1765.4804864289097,786.3773162715622,1391.1121713215775,568.2674668497485
ZOTUs,3,XGBoost,-1.0298075675964355,1.0,2111.858444989768,0.11257297828155953,1706.9370524088542,0.08460568159054487
ZOTUs,3,LightGBM,-0.014698291709560385,0.0,1493.1582279698657,1415.7660341704939,1144.4957264957266,951.3254437869822
ZOTUs,3,GAM,-0.3750678168774175,0.5598142514250797,1738.1987207907478,939.311150351256,1367.6320692795587,638.891384543276
ZOTUs,4,Linear,-1.7638174188580678,0.3571547257300335,1663.6879231823466,1211.801073917646,1342.3486614016347,970.1604689942781
ZOTUs,4,Ridge,-0.8031932344829906,0.25561038117412893,1343.8114087483398,1304.0020050144426,1110.235971137219,946.2753946893953
ZOTUs,4,RF,-0.26657768980096597,0.7394612512911227,1126.2455970709702,771.4615166639062,954.2684333760857,611.4413554407606
ZOTUs,4,XGBoost,-1.2006092071533203,1.0,1484.5289107599988,0.08944778409353354,1232.1308729383682,0.06242800981570513
ZOTUs,4,LightGBM,-0.011068131173964657,0.0,1006.2534909752782,1511.39543178359,861.5384615384615,1035.6068376068379
ZOTUs,4,GAM,-0.8612372933392083,0.5198787014062709,1365.2684749358943,1047.2577700454658,1146.8020217806074,793.6699831465813
Monothalamida,0,Linear,-26.182493461434216,0.3895584469191843,27920.846696907764,23627.169747211075,24082.50964495003,16326.309967721525
Monothalamida,0,Ridge,-8.11971670435342,0.24925468479403912,16172.405114407562,26202.092323428784,13178.442539473399,17391.531436992624
Monothalamida,0,RF,-10.184009133971312,0.6770054481925974,17909.468378275742,17186.49260628,12301.424441093535,11206.9634867203
Monothalamida,0,XGBoost,-0.5834704637527466,1.0,6738.898280425129,0.2459413475613753,5648.72373046875,0.17938553659539475
Monothalamida,0,LightGBM,-5.409722769773301,0.0,13558.247608608699,30240.54801681578,12502.615789473686,19677.09141274239
Monothalamida,0,GAM,-12.189310026963716,0.559951159660793,19448.89700312008,20060.423513858972,17342.664683741856,13847.614460852234
Monothalamida,1,Linear,-0.2829796629078323,0.29891935440123696,43886.01392434676,19432.733953349983,29420.484213230684,13684.469554448604
Monothalamida,1,Ridge,-0.12828638342534116,0.163277104676819,41155.31441529289,21229.547741392762,24284.69504234871,12091.04858687343
Monothalamida,1,RF,-0.14814075691097406,0.7318586500092885,41515.838839668155,12017.989265419372,21630.638338463265,7028.081456966919
Monothalamida,1,XGBoost,-0.18616676330566406,0.999569296836853,42197.73409480332,481.6728227190649,20169.31875,357.67679636101974
Monothalamida,1,LightGBM,-0.06609691370964121,0.0,40005.02936210324,23208.651967597067,21985.42631578947,13286.422437673129
Monothalamida,1,GAM,-0.43970917205388815,0.41112583590650487,46489.367355003924,17809.887098446754,31954.462105777122,12826.361123822833
Monothalamida,2,Linear,-0.09881843357785036,0.4220755958492518,33838.23799672255,19765.68418766691,20524.054520068883,13623.47765794165
Monothalamida,2,Ridge,0.028394658328708577,0.31720546062276267,31819.233916920977,21484.30725022092,16656.322466272308,13222.908723466853
Monothalamida,2,RF,-0.23972193371087536,0.8371391077005581,35942.38690873707,10492.639213318458,22173.941850047362,7401.206535850562
Monothalamida,2,XGBoost,-0.4333721399307251,1.0,38647.756516888534,1.1191135009719078,21991.0634765625,0.7679186369243421
Monothalamida,2,LightGBM,-0.01900817370650576,0.0,32586.19156072722,26000.17882902489,18042.94210526316,15253.083102493078
Monothalamida,2,GAM,0.09982477629731312,0.6317501811078603,30627.270911449432,15777.842120460467,16546.397591507597,10566.110127580574
Monothalamida,3,Linear,-0.09369826320459906,0.2938919302504618,30974.490136716864,22564.38837547658,22168.93920740307,13412.79407922339
Monothalamida,3,Ridge,0.013344306444519893,0.21783790321301932,29419.698539363697,23748.50973098742,18582.234439004977,13057.274172306688
Monothalamida,3,RF,-0.3345052011694154,0.7774298112822039,34214.92091142914,12668.391486182929,23675.10005031323,7314.9000470422325
Monothalamida,3,XGBoost,-0.33296847343444824,0.9987640976905823,34195.21769317043,944.0066803783923,20566.926866319445,635.6584347455929
Monothalamida,3,LightGBM,-0.038821761080141126,0.0,30187.414939217135,26852.70116262283,20598.190883190884,14597.92504930967
Monothalamida,3,GAM,-0.13515714894095954,0.5213362607205981,31556.105500515645,18578.183291512025,19742.08468234378,10207.494288540733
Monothalamida,4,Linear,-10.202482381988187,0.3237635774017018,21022.05460380367,24792.111744738733,15563.825443532975,18369.226511205106
Monothalamida,4,Ridge,-3.6211744343427066,0.23628708527629372,13501.878825773327,26346.88700473251,11406.997135249167,17204.593957424393
Monothalamida,4,RF,0.47660383622569025,0.8460654823999869,4543.947370651224,11828.570127341309,3432.838866003011,7682.35402739252
Monothalamida,4,XGBoost,-0.4216270446777344,1.0,7488.77624229387,0.040132719603789384,5500.713107638889,0.030192057291666668
Monothalamida,4,LightGBM,-1.603403093057973,0.0,10134.182787341977,30148.398108177353,9637.341880341883,19248.714003944777
Monothalamida,4,GAM,-1.7189469268933202,0.5006989073632538,10356.628312700692,21303.232131169218,8033.152970301702,14803.210393699599
