Target,Group,PC,Variable,mean,std,CV
reads,Trace,PC1,Co,0.20629423632866445,0.1354732998952544,0.6566993935759826
reads,Trace,PC1,Cr,-0.2494968426477418,0.25723779130148283,1.0310262389358982
reads,Trace,PC1,Cu,0.3635589304203816,0.041289532465622815,0.11357039811367006
reads,Trace,PC1,Ga,0.06170280610951928,0.13574832988361707,2.200034948859065
reads,Trace,PC1,Mn,0.3629023967740751,0.11502018004181025,0.3169452201590613
reads,Trace,PC1,Ni,0.3717036193557762,0.13708604457749887,0.36880470740395704
reads,Trace,PC1,Rb,-0.16756821085649523,0.04911328909133122,0.29309430971600964
reads,Trace,PC1,Sc,0.002622030374016859,0.17215693875350585,65.6578735545948
reads,Trace,PC1,Ti,-0.22857400163084257,0.33151633099242983,1.4503676211078624
reads,Trace,PC1,V,-0.2014962136934609,0.3104695415995413,1.5408207226755293
reads,Trace,PC1,Zn,0.17416681081160812,0.19784683420051777,1.1359617442528918
reads,Trace,PC2,As,0.03505951217724813,0.3642765052757157,10.39023313941353
reads,Trace,PC2,Co,0.28755481553499534,0.2186036903179137,0.7602157171710091
reads,Trace,PC2,Cr,0.044639396822600264,0.26497751762441796,5.935956497742455
reads,Trace,PC2,Cu,0.18935380367973878,0.11328963109826845,0.598296041044306
reads,Trace,PC2,Ga,0.05272533516716993,0.38067743799661713,7.220009826199276
reads,Trace,PC2,Mn,0.17208235651683085,0.15398599827719994,0.8948389677714522
reads,Trace,PC2,Ni,0.15594565134210672,0.16868955084735157,1.0817201338772047
reads,Trace,PC2,Rb,0.011843322259664613,0.33929949010459554,28.64901272341162
reads,Trace,PC2,Sc,0.15333276838808985,0.19877200626921507,1.2963439476036664
reads,Trace,PC2,Ti,0.09162793856367168,0.30408094933470275,3.3186488106288543
reads,Trace,PC2,V,0.08052896436316445,0.2917357812668899,3.6227434883086076
reads,Trace,PC2,Zn,0.2547054974352381,0.32376176828275127,1.2711220273723047
