Target,Fold,Model,Feature,MeanAbsSHAP
ZOTUs,3,RF,Trace_PC2,177.91605781298455
ZOTUs,3,RF,Organic_PC1,46.71120353695972
ZOTUs,3,RF,Organic_PC2,50.100531771879545
ZOTUs,3,LightGBM,Sediment_PC1,0.0
ZOTUs,3,LightGBM,Sediment_PC2,0.0
ZOTUs,3,LightGBM,Major_PC1,0.0
ZOTUs,3,LightGBM,Major_PC2,0.0
ZOTUs,3,LightGBM,Trace_PC1,0.0
ZOTUs,3,LightGBM,Trace_PC2,0.0
ZOTUs,3,LightGBM,Organic_PC1,0.0
ZOTUs,3,LightGBM,Organic_PC2,0.0
ZOTUs,4,XGBoost,Sediment_PC1,183.30059814453125
ZOTUs,4,XGBoost,Sediment_PC2,58.82372283935547
ZOTUs,4,XGBoost,Major_PC1,223.6087188720703
ZOTUs,4,XGBoost,Major_PC2,64.91069030761719
ZOTUs,4,XGBoost,Trace_PC1,300.7152099609375
ZOTUs,4,XGBoost,Trace_PC2,57.64896774291992
ZOTUs,4,XGBoost,Organic_PC1,374.64825439453125
ZOTUs,4,XGBoost,Organic_PC2,65.91815185546875
ZOTUs,4,RF,Sediment_PC1,77.96907951081666
ZOTUs,4,RF,Sediment_PC2,10.62679280913168
ZOTUs,4,RF,Major_PC1,107.41130788923489
ZOTUs,4,RF,Major_PC2,93.8872563406398
ZOTUs,4,RF,Trace_PC1,114.70119472022104
ZOTUs,4,RF,Trace_PC2,38.52214908023755
ZOTUs,4,RF,Organic_PC1,204.14538223256307
ZOTUs,4,RF,Organic_PC2,76.53183015470351
ZOTUs,4,LightGBM,Sediment_PC1,0.0
ZOTUs,4,LightGBM,Sediment_PC2,0.0
ZOTUs,4,LightGBM,Major_PC1,0.0
ZOTUs,4,LightGBM,Major_PC2,0.0
ZOTUs,4,LightGBM,Trace_PC1,0.0
ZOTUs,4,LightGBM,Trace_PC2,0.0
ZOTUs,4,LightGBM,Organic_PC1,0.0
ZOTUs,4,LightGBM,Organic_PC2,0.0
Monothalamida,0,XGBoost,Sediment_PC1,7560.89697265625
Monothalamida,0,XGBoost,Sediment_PC2,272.93536376953125
Monothalamida,0,XGBoost,Major_PC1,5994.4267578125
Monothalamida,0,XGBoost,Major_PC2,538.9326782226562
Monothalamida,0,XGBoost,Trace_PC1,1595.0361328125
Monothalamida,0,XGBoost,Trace_PC2,6089.6337890625
Monothalamida,0,XGBoost,Organic_PC1,1057.0047607421875
Monothalamida,0,XGBoost,Organic_PC2,2270.890625
Monothalamida,0,RF,Sediment_PC1,2199.7986675811194
Monothalamida,0,RF,Sediment_PC2,313.69709609981385
Monothalamida,0,RF,Major_PC1,6745.866528131779
Monothalamida,0,RF,Major_PC2,530.4454601953568
Monothalamida,0,RF,Trace_PC1,2761.106513034749
Monothalamida,0,RF,Trace_PC2,3257.4141196250325
Monothalamida,0,RF,Organic_PC1,482.27476776921293
Monothalamida,0,RF,Organic_PC2,625.8084057701963
Monothalamida,0,LightGBM,Sediment_PC1,0.0
Monothalamida,0,LightGBM,Sediment_PC2,0.0
Monothalamida,0,LightGBM,Major_PC1,0.0
Monothalamida,0,LightGBM,Major_PC2,0.0
Monothalamida,0,LightGBM,Trace_PC1,0.0
Monothalamida,0,LightGBM,Trace_PC2,0.0
Monothalamida,0,LightGBM,Organic_PC1,0.0
Monothalamida,0,LightGBM,Organic_PC2,0.0
Monothalamida,1,XGBoost,Sediment_PC1,4807.86767578125
Monothalamida,1,XGBoost,Sediment_PC2,740.5916748046875
Monothalamida,1,XGBoost,Major_PC1,518.0425415039062
Monothalamida,1,XGBoost,Major_PC2,158.70758056640625
Monothalamida,1,XGBoost,Trace_PC1,1215.18896484375
Monothalamida,1,XGBoost,Trace_PC2,9643.759765625
Monothalamida,1,XGBoost,Organic_PC1,526.9482421875
Monothalamida,1,XGBoost,Organic_PC2,204.63201904296875
Monothalamida,1,RF,Sediment_PC1,3568.1823033927917
Monothalamida,1,RF,Sediment_PC2,374.1895058687711
Monothalamida,1,RF,Major_PC1,619.7791259011798
Monothalamida,1,RF,Major_PC2,116.78019830001554
Monothalamida,1,RF,Trace_PC1,1792.8125708213993
Monothalamida,1,RF,Trace_PC2,3588.4653591490232
Monothalamida,1,RF,Organic_PC1,664.616518760478
Monothalamida,1,RF,Organic_PC2,240.17049893859294
Monothalamida,1,LightGBM,Sediment_PC1,0.0
Monothalamida,1,LightGBM,Sediment_PC2,0.0
Monothalamida,1,LightGBM,Major_PC1,0.0
Monothalamida,1,LightGBM,Major_PC2,0.0
Monothalamida,1,LightGBM,Trace_PC1,0.0
Monothalamida,1,LightGBM,Trace_PC2,0.0
Monothalamida,1,LightGBM,Organic_PC1,0.0
Monothalamida,1,LightGBM,Organic_PC2,0.0
Monothalamida,2,XGBoost,Sediment_PC1,1616.8197021484375
Monothalamida,2,XGBoost,Sediment_PC2,5022.3369140625
Monothalamida,2,XGBoost,Major_PC1,5543.21142578125
Monothalamida,2,XGBoost,Major_PC2,979.5910034179688
Monothalamida,2,XGBoost,Trace_PC1,179.4481658935547
Monothalamida,2,XGBoost,Trace_PC2,7897.77880859375
Monothalamida,2,XGBoost,Organic_PC1,712.76318359375
Monothalamida,2,XGBoost,Organic_PC2,393.58367919921875
Monothalamida,2,RF,Sediment_PC1,494.8803568389163
Monothalamida,2,RF,Sediment_PC2,740.9946451999393
Monothalamida,2,RF,Major_PC1,3436.298017595966
Monothalamida,2,RF,Major_PC2,3925.7537387727475
Monothalamida,2,RF,Trace_PC1,1382.4962023621558
Monothalamida,2,RF,Trace_PC2,4040.5673258171178
Monothalamida,2,RF,Organic_PC1,272.03230110743704
Monothalamida,2,RF,Organic_PC2,2542.8716492218773
Monothalamida,2,LightGBM,Sediment_PC1,0.0
Monothalamida,2,LightGBM,Sediment_PC2,0.0
Monothalamida,2,LightGBM,Major_PC1,0.0
Monothalamida,2,LightGBM,Major_PC2,0.0
Monothalamida,2,LightGBM,Trace_PC1,0.0
Monothalamida,2,LightGBM,Trace_PC2,0.0
Monothalamida,2,LightGBM,Organic_PC1,0.0
Monothalamida,2,LightGBM,Organic_PC2,0.0
Monothalamida,3,XGBoost,Sediment_PC1,2609.024658203125
Monothalamida,3,XGBoost,Sediment_PC2,1862.830322265625
Monothalamida,3,XGBoost,Major_PC1,4805.8515625
Monothalamida,3,XGBoost,Major_PC2,3058.107177734375
Monothalamida,3,XGBoost,Trace_PC1,794.7238159179688
Monothalamida,3,XGBoost,Trace_PC2,695.3145141601562
Monothalamida,3,XGBoost,Organic_PC1,1073.7822265625
Monothalamida,3,XGBoost,Organic_PC2,506.224609375
Monothalamida,3,RF,Sediment_PC1,3881.7934140715547
Monothalamida,3,RF,Sediment_PC2,809.8595034541323
Monothalamida,3,RF,Major_PC1,1559.1571759887465
Monothalamida,3,RF,Major_PC2,4790.094498587931
Monothalamida,3,RF,Trace_PC1,282.92140656819925
Monothalamida,3,RF,Trace_PC2,1339.953136268402
Monothalamida,3,RF,Organic_PC1,365.77151891326434
Monothalamida,3,RF,Organic_PC2,871.5501809267867
Monothalamida,3,LightGBM,Sediment_PC1,0.0
Monothalamida,3,LightGBM,Sediment_PC2,0.0
Monothalamida,3,LightGBM,Major_PC1,0.0
Monothalamida,3,LightGBM,Major_PC2,0.0
Monothalamida,3,LightGBM,Trace_PC1,0.0
Monothalamida,3,LightGBM,Trace_PC2,0.0
Monothalamida,3,LightGBM,Organic_PC1,0.0
Monothalamida,3,LightGBM,Organic_PC2,0.0
Monothalamida,4,XGBoost,Sediment_PC1,4775.27734375
Monothalamida,4,XGBoost,Sediment_PC2,1069.91650390625
Monothalamida,4,XGBoost,Major_PC1,3833.5107421875
Monothalamida,4,XGBoost,Major_PC2,886.2439575195312
Monothalamida,4,XGBoost,Trace_PC1,6623.1904296875
Monothalamida,4,XGBoost,Trace_PC2,1330.9146728515625
Monothalamida,4,XGBoost,Organic_PC1,3136.893798828125
Monothalamida,4,XGBoost,Organic_PC2,118.81632232666016
Monothalamida,4,RF,Sediment_PC1,1997.2451926406397
Monothalamida,4,RF,Sediment_PC2,182.40305706237547
Monothalamida,4,RF,Major_PC1,3371.915918017015
Monothalamida,4,RF,Major_PC2,1423.8034905744523
Monothalamida,4,RF,Trace_PC1,4006.926975987428
Monothalamida,4,RF,Trace_PC2,1047.4891826250591
Monothalamida,4,RF,Organic_PC1,969.4247260244125
Monothalamida,4,RF,Organic_PC2,1916.6066786504934
Monothalamida,4,LightGBM,Sediment_PC1,0.0
Monothalamida,4,LightGBM,Sediment_PC2,0.0
Monothalamida,4,LightGBM,Major_PC1,0.0
Monothalamida,4,LightGBM,Major_PC2,0.0
Monothalamida,4,LightGBM,Trace_PC1,0.0
Monothalamida,4,LightGBM,Trace_PC2,0.0
Monothalamida,4,LightGBM,Organic_PC1,0.0
Monothalamida,4,LightGBM,Organic_PC2,0.0
