Target,Fold,Group,PC,Variable,Loading
reads,2,Major,PC1,SiO2,-0.34549426832117136
reads,2,Major,PC1,K2O,0.4752419667455676
reads,2,Major,PC1,CaO,-0.35624134203336766
reads,2,Major,PC1,Fe2O3,0.4285327463369632
reads,2,Major,PC2,Na2O,0.6278859674946881
reads,2,Major,PC2,MgO,-0.4986901085283722
reads,2,Major,PC2,Al2O3,-0.06764279550550115
reads,2,Major,PC2,SiO2,-0.49489423629920853
reads,2,Major,PC2,K2O,-0.31019986962951407
reads,2,Major,PC2,CaO,-0.002289582344938812
reads,2,Major,PC2,Fe2O3,-0.10650039092773983
reads,2,Trace,PC1,Sc,0.031417741160585856
reads,2,Trace,PC1,Ti,-0.36318050552641046
reads,2,Trace,PC1,V,-0.30544107992568426
reads,2,Trace,PC1,Cr,-0.34018979820053974
reads,2,Trace,PC1,Mn,0.402603176319445
reads,2,Trace,PC1,Co,0.2538599935374747
reads,2,Trace,PC1,Ni,0.42011031455171916
reads,2,Trace,PC1,Cu,0.40676455157551167
reads,2,Trace,PC1,Zn,0.27070624469712734
reads,2,Trace,PC1,Ga,0.02612272798645426
reads,2,Trace,PC1,As,0.023475041164923285
reads,2,Trace,PC1,Rb,-0.12284078204880401
reads,2,Trace,PC2,Sc,-0.12595467570167723
reads,2,Trace,PC2,Ti,-0.0860986970254542
reads,2,Trace,PC2,V,-0.1902876237956031
reads,2,Trace,PC2,Cr,0.05015744703705245
reads,2,Trace,PC2,Mn,0.005728564276476021
reads,2,Trace,PC2,Co,0.053904079368445185
reads,2,Trace,PC2,Ni,0.006612138364005082
reads,2,Trace,PC2,Cu,0.024243053906107252
reads,2,Trace,PC2,Zn,-0.11974704576140478
reads,2,Trace,PC2,Ga,-0.5628345682561513
reads,2,Trace,PC2,As,0.5797915486728298
reads,2,Trace,PC2,Rb,0.516862676553041
reads,2,Organic,PC1,Chlorophyll a,-0.21907608605211745
reads,2,Organic,PC1,Depth,-0.07792552733166858
reads,2,Organic,PC1,N,0.5696658044883046
reads,2,Organic,PC1,C,0.5663005815656851
reads,2,Organic,PC1,S1,0.5372925421619597
reads,2,Organic,PC1,P,-0.04991858081060263
reads,2,Organic,PC1,S2,0.032285317274614256
reads,2,Organic,PC1,Cl,-0.09219718510181106
reads,2,Organic,PC2,Chlorophyll a,0.27566220093344607
reads,2,Organic,PC2,Depth,-0.22355555782741068
reads,2,Organic,PC2,N,-0.017394183055644524
reads,2,Organic,PC2,C,0.017896524242161593
reads,2,Organic,PC2,S1,0.11490101108975018
reads,2,Organic,PC2,P,-0.21653127509281128
reads,2,Organic,PC2,S2,0.7001708207023855
reads,2,Organic,PC2,Cl,0.5684040875566099
reads,3,Sediment,PC1,Grain Size,0.37998546455052357
reads,3,Sediment,PC1,Sorting,0.47385660370843397
reads,3,Sediment,PC1,Skewness,-0.4026255690689797
reads,3,Sediment,PC1,Kurtosis,-0.453144658588005
reads,3,Sediment,PC1,Clay Content,0.08528924500390203
reads,3,Sediment,PC1,Silt Content,-0.36343905466865306
reads,3,Sediment,PC1,Sand Content,0.3525072107141812
reads,3,Sediment,PC2,Grain Size,-0.43067968003178086
reads,3,Sediment,PC2,Sorting,-0.03610282602702097
reads,3,Sediment,PC2,Skewness,-0.19814069296592915
reads,3,Sediment,PC2,Kurtosis,-0.174045144868691
reads,3,Sediment,PC2,Clay Content,0.681595254839785
reads,3,Sediment,PC2,Silt Content,-0.3133958493942307
reads,3,Sediment,PC2,Sand Content,-0.4252894339876807
reads,3,Major,PC1,Na2O,0.2479458365255894
reads,3,Major,PC1,MgO,0.34292764619835225
reads,3,Major,PC1,Al2O3,0.48227681384672405
reads,3,Major,PC1,SiO2,-0.3480704714576448
reads,3,Major,PC1,K2O,0.4832071955704696
reads,3,Major,PC1,CaO,-0.1490401363911995
reads,3,Major,PC1,Fe2O3,0.45986667333152487
reads,3,Major,PC2,Na2O,0.6288671830727985
reads,3,Major,PC2,MgO,-0.4584737106597206
reads,3,Major,PC2,Al2O3,-0.06452257771008393
reads,3,Major,PC2,SiO2,-0.49449459125802014
reads,3,Major,PC2,K2O,-0.23352014040334163
reads,3,Major,PC2,CaO,-0.2650961701474011
reads,3,Major,PC2,Fe2O3,-0.14433372256469884
reads,3,Trace,PC1,Sc,-0.16861589031282023
reads,3,Trace,PC1,Ti,-0.41700874654935316
reads,3,Trace,PC1,V,-0.3919751088236915
reads,3,Trace,PC1,Cr,-0.37469822937505465
reads,3,Trace,PC1,Mn,0.40652374431403393
reads,3,Trace,PC1,Co,0.02860461821328225
reads,3,Trace,PC1,Ni,0.4251110045622776
reads,3,Trace,PC1,Cu,0.34488640731234654
reads,3,Trace,PC1,Zn,-0.043668815950811235
reads,3,Trace,PC1,Ga,-0.10317144566273646
reads,3,Trace,PC1,As,0.07347765486515717
reads,3,Trace,PC1,Rb,-0.14118456122056344
reads,3,Trace,PC2,Sc,0.25369131599944295
reads,3,Trace,PC2,Ti,0.23921950418362992
reads,3,Trace,PC2,V,0.17665655861395133
reads,3,Trace,PC2,Cr,0.1943172354463324
reads,3,Trace,PC2,Mn,0.22792594581296693
reads,3,Trace,PC2,Co,0.5179188470750087
reads,3,Trace,PC2,Ni,0.194255457854296
reads,3,Trace,PC2,Cu,0.33999755539429416
reads,3,Trace,PC2,Zn,0.49563933147791406
reads,3,Trace,PC2,Ga,-0.06002675527643796
reads,3,Trace,PC2,As,0.2368735562578172
reads,3,Trace,PC2,Rb,0.17479613236609418
reads,3,Organic,PC1,Chlorophyll a,-0.1894730056809192
reads,3,Organic,PC1,Depth,-0.18003777424421497
reads,3,Organic,PC1,N,0.5607023629370179
reads,3,Organic,PC1,C,0.5570309894828309
reads,3,Organic,PC1,S1,0.5475488052386904
reads,3,Organic,PC1,P,0.021728622622102817
reads,3,Organic,PC1,S2,0.04442480712938357
reads,3,Organic,PC1,Cl,-0.06899511771274669
reads,3,Organic,PC2,Chlorophyll a,0.2862101657311041
reads,3,Organic,PC2,Depth,-0.389316209833959
reads,3,Organic,PC2,N,-0.07282907658679366
reads,3,Organic,PC2,C,-0.045259174374085664
reads,3,Organic,PC2,S1,0.10900871780452381
reads,3,Organic,PC2,P,-0.20690273321791247
reads,3,Organic,PC2,S2,0.6707873395691031
reads,3,Organic,PC2,Cl,0.5044966462074456
reads,4,Sediment,PC1,Grain Size,0.3629875046072096
reads,4,Sediment,PC1,Sorting,0.47163432454030196
reads,4,Sediment,PC1,Skewness,-0.4058324226310748
reads,4,Sediment,PC1,Kurtosis,-0.4555503316863341
reads,4,Sediment,PC1,Clay Content,0.14204548507136225
reads,4,Sediment,PC1,Silt Content,-0.38168700342700584
reads,4,Sediment,PC1,Sand Content,0.32819687238312206
reads,4,Sediment,PC2,Grain Size,-0.4657830818675284
reads,4,Sediment,PC2,Sorting,-0.044943628414223225
reads,4,Sediment,PC2,Skewness,-0.20582473284610653
reads,4,Sediment,PC2,Kurtosis,-0.1553138945528053
reads,4,Sediment,PC2,Clay Content,0.654428826088202
reads,4,Sediment,PC2,Silt Content,-0.2551221383288208
reads,4,Sediment,PC2,Sand Content,-0.4702930687751727
reads,4,Major,PC1,Na2O,0.1786458286987313
reads,4,Major,PC1,MgO,0.3559966343953951
reads,4,Major,PC1,Al2O3,0.5073958529906848
reads,4,Major,PC1,SiO2,-0.27793484054875656
reads,4,Major,PC1,K2O,0.4976394079282484
reads,4,Major,PC1,CaO,0.1593606774989479
reads,4,Major,PC1,Fe2O3,0.48333521608567515
reads,4,Major,PC2,Na2O,0.6334614022913256
reads,4,Major,PC2,MgO,-0.40269768253701044
reads,4,Major,PC2,Al2O3,0.03033684559629904
reads,4,Major,PC2,SiO2,-0.5383916513320787
reads,4,Major,PC2,K2O,-0.12467160174386753
reads,4,Major,PC2,CaO,-0.35944695082311306
reads,4,Major,PC2,Fe2O3,-0.03209696440782486
reads,4,Trace,PC1,Sc,0.2833893659865203
reads,4,Trace,PC1,Ti,0.3627849894975983
reads,4,Trace,PC1,V,0.350712086417354
reads,4,Trace,PC1,Cr,0.20997915210641224
reads,4,Trace,PC1,Mn,0.15789181252222906
reads,4,Trace,PC1,Co,0.39490294588214314
reads,4,Trace,PC1,Ni,0.127181777213656
reads,4,Trace,PC1,Cu,0.3012509140241141
reads,4,Trace,PC1,Zn,0.4655102576376991
reads,4,Trace,PC1,Ga,0.2742624209386493
reads,4,Trace,PC1,As,-0.15436888248509403
reads,4,Trace,PC1,Rb,-0.1320318165979833
reads,4,Trace,PC2,Sc,0.014169010471020725
reads,4,Trace,PC2,Ti,-0.3574471504537917
reads,4,Trace,PC2,V,-0.26740812792703195
reads,4,Trace,PC2,Cr,-0.4155352513165267
reads,4,Trace,PC2,Mn,0.4058941780964644
reads,4,Trace,PC2,Co,0.05492627265323498
reads,4,Trace,PC2,Ni,0.4304354514883307
reads,4,Trace,PC2,Cu,0.19060282436540565
reads,4,Trace,PC2,Zn,-0.07885921984010948
reads,4,Trace,PC2,Ga,0.22334696475451274
reads,4,Trace,PC2,As,-0.24840153276483884
reads,4,Trace,PC2,Rb,-0.3473860436367978
reads,4,Organic,PC1,Chlorophyll a,-0.10867963689893544
reads,4,Organic,PC1,Depth,-0.198248612659783
reads,4,Organic,PC1,N,0.5622170769224999
reads,4,Organic,PC1,C,0.5591761939760818
reads,4,Organic,PC1,S1,0.5455100968049515
reads,4,Organic,PC1,P,-0.0758603292287196
reads,4,Organic,PC1,S2,0.10759337283646331
reads,4,Organic,PC1,Cl,-0.07216493236999849
reads,4,Organic,PC2,Chlorophyll a,0.27295663544440385
reads,4,Organic,PC2,Depth,-0.4480316523710539
reads,4,Organic,PC2,N,-0.13209073195828216
reads,4,Organic,PC2,C,-0.10283749211674754
reads,4,Organic,PC2,S1,0.05702087112676182
reads,4,Organic,PC2,P,-0.1539049454204644
reads,4,Organic,PC2,S2,0.6286905340243764
reads,4,Organic,PC2,Cl,0.5239741432987038
ZOTUs,0,Sediment,PC1,Grain Size,0.43135468841072366
ZOTUs,0,Sediment,PC1,Sorting,0.47599261332137854
ZOTUs,0,Sediment,PC1,Skewness,-0.3832982839852522
ZOTUs,0,Sediment,PC1,Kurtosis,-0.4423997232542095
ZOTUs,0,Sediment,PC1,Clay Content,-0.08313354607709722
ZOTUs,0,Sediment,PC1,Silt Content,-0.29174101794316104
ZOTUs,0,Sediment,PC1,Sand Content,0.39077495719949495
ZOTUs,0,Sediment,PC2,Grain Size,-0.3060963531704898
ZOTUs,0,Sediment,PC2,Sorting,0.04238010431959301
ZOTUs,0,Sediment,PC2,Skewness,-0.21430592102645946
ZOTUs,0,Sediment,PC2,Kurtosis,-0.2073154234581575
ZOTUs,0,Sediment,PC2,Clay Content,0.7300453337098654
ZOTUs,0,Sediment,PC2,Silt Content,-0.4244026265573875
ZOTUs,0,Sediment,PC2,Sand Content,-0.3201850371934878
ZOTUs,0,Major,PC1,Na2O,0.23638927981548483
ZOTUs,0,Major,PC1,MgO,0.3774064107501471
ZOTUs,0,Major,PC1,Al2O3,0.48137015575215897
ZOTUs,0,Major,PC1,SiO2,-0.349063627004398
ZOTUs,0,Major,PC1,K2O,0.48268108914717195
ZOTUs,0,Major,PC1,CaO,-0.1405425156876111
ZOTUs,0,Major,PC1,Fe2O3,0.4420278661245024
ZOTUs,0,Major,PC2,Na2O,0.6705952119612505
ZOTUs,0,Major,PC2,MgO,-0.39291938071137256
ZOTUs,0,Major,PC2,Al2O3,-0.09733501371554648
ZOTUs,0,Major,PC2,SiO2,-0.5093599208792634
ZOTUs,0,Major,PC2,K2O,-0.20589588878150877
ZOTUs,0,Major,PC2,CaO,-0.2362516964560404
ZOTUs,0,Major,PC2,Fe2O3,-0.16966675268719467
ZOTUs,0,Trace,PC1,Sc,-0.06527347793291423
ZOTUs,0,Trace,PC1,Ti,-0.37463003771189896
ZOTUs,0,Trace,PC1,V,-0.3430011635504069
ZOTUs,0,Trace,PC1,Cr,-0.37169090765083895
ZOTUs,0,Trace,PC1,Mn,0.4219840348457735
ZOTUs,0,Trace,PC1,Co,0.14319568838520705
ZOTUs,0,Trace,PC1,Ni,0.44379696701915566
ZOTUs,0,Trace,PC1,Cu,0.38042747764576323
ZOTUs,0,Trace,PC1,Zn,0.0739409087701276
ZOTUs,0,Trace,PC1,Ga,0.053901365471262036
ZOTUs,0,Trace,PC1,As,-0.05120431937781892
ZOTUs,0,Trace,PC1,Rb,-0.21985662797097605
ZOTUs,0,Trace,PC2,Sc,0.3146047968817979
ZOTUs,0,Trace,PC2,Ti,0.33044436757765605
ZOTUs,0,Trace,PC2,V,0.3311721361312011
ZOTUs,0,Trace,PC2,Cr,0.2058381544650192
ZOTUs,0,Trace,PC2,Mn,0.14030668329954674
ZOTUs,0,Trace,PC2,Co,0.4333153094391887
ZOTUs,0,Trace,PC2,Ni,0.10020574408798824
ZOTUs,0,Trace,PC2,Cu,0.22140041136355526
ZOTUs,0,Trace,PC2,Zn,0.5066051337336962
ZOTUs,0,Trace,PC2,Ga,0.2902594600186788
ZOTUs,0,Trace,PC2,As,-0.14284742930739214
ZOTUs,0,Trace,PC2,Rb,-0.10942509923878382
ZOTUs,0,Organic,PC1,Chlorophyll a,-0.24914545975548646
ZOTUs,0,Organic,PC1,Depth,-0.025392654929511704
ZOTUs,0,Organic,PC1,N,0.5728122847285602
ZOTUs,0,Organic,PC1,C,0.5671501484976342
ZOTUs,0,Organic,PC1,S1,0.5269163876809253
ZOTUs,0,Organic,PC1,P,-0.08242660171557037
ZOTUs,0,Organic,PC1,S2,-0.0037243098129188246
ZOTUs,0,Organic,PC1,Cl,-0.05531413672238261
ZOTUs,0,Organic,PC2,Chlorophyll a,0.13637928264036298
ZOTUs,0,Organic,PC2,Depth,-0.34850156908430463
ZOTUs,0,Organic,PC2,N,-0.06202199782730801
ZOTUs,0,Organic,PC2,C,-0.02618844576888882
ZOTUs,0,Organic,PC2,S1,0.15784379563693665
ZOTUs,0,Organic,PC2,P,-0.3151639082037442
ZOTUs,0,Organic,PC2,S2,0.6418838528995334
ZOTUs,0,Organic,PC2,Cl,0.5649397766466044
ZOTUs,1,Sediment,PC1,Grain Size,0.3752063815817817
ZOTUs,1,Sediment,PC1,Sorting,0.47225590393882555
ZOTUs,1,Sediment,PC1,Skewness,-0.39262642071911774
ZOTUs,1,Sediment,PC1,Kurtosis,-0.4526197557607777
ZOTUs,1,Sediment,PC1,Clay Content,0.09991330560565725
ZOTUs,1,Sediment,PC1,Silt Content,-0.38511353280419525
ZOTUs,1,Sediment,PC1,Sand Content,0.3447887484788332
ZOTUs,1,Sediment,PC2,Grain Size,-0.44005400915668597
ZOTUs,1,Sediment,PC2,Sorting,-0.024793162979754535
ZOTUs,1,Sediment,PC2,Skewness,-0.2093156653864791
ZOTUs,1,Sediment,PC2,Kurtosis,-0.19398235011235232
