Target,Fold,Model,Feature,MeanAbsSHAP
shannon,0,LightGBM,Major_PC2,0.0
shannon,0,LightGBM,Trace_PC1,0.0
shannon,0,LightGBM,Trace_PC2,0.0
shannon,0,LightGBM,Organic_PC1,0.0
shannon,0,LightGBM,Organic_PC2,0.0
shannon,1,XGBoost,Sediment_PC1,0.12149939686059952
shannon,1,XGBoost,Sediment_PC2,0.06112128496170044
shannon,1,XGBoost,Major_PC1,0.0405205637216568
shannon,1,XGBoost,Major_PC2,0.06754051148891449
shannon,1,XGBoost,Trace_PC1,0.017793061211705208
shannon,1,XGBoost,Trace_PC2,0.034231528639793396
shannon,1,XGBoost,Organic_PC1,0.06626233458518982
shannon,1,XGBoost,Organic_PC2,0.004684315528720617
shannon,1,RF,Sediment_PC1,0.04728476631050207
shannon,1,RF,Sediment_PC2,0.04750850258241859
shannon,1,RF,Major_PC1,0.04109275681409106
shannon,1,RF,Major_PC2,0.021832692284869528
shannon,1,RF,Trace_PC1,0.01093607187713523
shannon,1,RF,Trace_PC2,0.01659871424481009
shannon,1,RF,Organic_PC1,0.0325657211854944
shannon,1,RF,Organic_PC2,0.003948018236362614
shannon,1,LightGBM,Sediment_PC1,0.0
shannon,1,LightGBM,Sediment_PC2,0.0
shannon,1,LightGBM,Major_PC1,0.0
shannon,1,LightGBM,Major_PC2,0.0
shannon,1,LightGBM,Trace_PC1,0.0
shannon,1,LightGBM,Trace_PC2,0.0
shannon,1,LightGBM,Organic_PC1,0.0
shannon,1,LightGBM,Organic_PC2,0.0
shannon,2,XGBoost,Sediment_PC1,0.016209743916988373
shannon,2,XGBoost,Sediment_PC2,0.023602893576025963
shannon,2,XGBoost,Major_PC1,0.0561436302959919
shannon,2,XGBoost,Major_PC2,0.020495524629950523
shannon,2,XGBoost,Trace_PC1,0.024371204897761345
shannon,2,XGBoost,Trace_PC2,0.00416354276239872
shannon,2,XGBoost,Organic_PC1,0.008588015101850033
shannon,2,XGBoost,Organic_PC2,0.011449293233454227
shannon,2,RF,Sediment_PC1,0.012992055438969165
shannon,2,RF,Sediment_PC2,0.02346881198802272
shannon,2,RF,Major_PC1,0.03181920868791625
shannon,2,RF,Major_PC2,0.022106571479740628
shannon,2,RF,Trace_PC1,0.006308514506834359
shannon,2,RF,Trace_PC2,0.012745142129757048
shannon,2,RF,Organic_PC1,0.020055612897701986
shannon,2,RF,Organic_PC2,0.006233045998753817
shannon,2,LightGBM,Sediment_PC1,0.029689762736118886
shannon,2,LightGBM,Sediment_PC2,0.05699649950646941
shannon,2,LightGBM,Major_PC1,0.0
shannon,2,LightGBM,Major_PC2,0.0
shannon,2,LightGBM,Trace_PC1,0.0
shannon,2,LightGBM,Trace_PC2,0.01972673622065575
shannon,2,LightGBM,Organic_PC1,0.032963642932856425
shannon,2,LightGBM,Organic_PC2,0.002307282841549562
simpson,0,XGBoost,Sediment_PC1,0.0010972321033477783
simpson,0,XGBoost,Sediment_PC2,0.0005054028588347137
simpson,0,XGBoost,Major_PC1,0.002522714901715517
simpson,0,XGBoost,Major_PC2,0.003621727926656604
simpson,0,XGBoost,Trace_PC1,0.00035952922189608216
simpson,0,XGBoost,Trace_PC2,0.0006846452597528696
simpson,0,XGBoost,Organic_PC1,0.00013406487414613366
simpson,0,XGBoost,Organic_PC2,0.0009532067342661321
simpson,0,RF,Sediment_PC1,0.0007399473029108164
simpson,0,RF,Sediment_PC2,0.00034212179268439547
simpson,0,RF,Major_PC1,0.0012632540014648407
simpson,0,RF,Major_PC2,0.0013604396437936356
simpson,0,RF,Trace_PC1,0.0005156668686767962
simpson,0,RF,Trace_PC2,0.0003202615738354205
simpson,0,RF,Organic_PC1,0.0005408563810805115
simpson,0,RF,Organic_PC2,0.0007158852824528109
simpson,0,LightGBM,Sediment_PC1,0.0
simpson,0,LightGBM,Sediment_PC2,0.0
simpson,0,LightGBM,Major_PC1,0.0
simpson,0,LightGBM,Major_PC2,0.0
simpson,0,LightGBM,Trace_PC1,0.0
simpson,0,LightGBM,Trace_PC2,0.0
simpson,0,LightGBM,Organic_PC1,0.0
simpson,0,LightGBM,Organic_PC2,0.0
simpson,1,XGBoost,Sediment_PC1,0.000610380491707474
simpson,1,XGBoost,Sediment_PC2,0.00254057627171278
simpson,1,XGBoost,Major_PC1,0.000604654720518738
simpson,1,XGBoost,Major_PC2,0.003232276299968362
simpson,1,XGBoost,Trace_PC1,0.00032710214145481586
simpson,1,XGBoost,Trace_PC2,0.0015277302591130137
simpson,1,XGBoost,Organic_PC1,0.0024045617319643497
simpson,1,XGBoost,Organic_PC2,0.0043088700622320175
