Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
Textulariida,Ridge,1.0,-1.0396223517419123,0.12286822617207145,292.0253915776945,279.4006596756007,187.66104580407386,154.56137629772442
Textulariida,XGBoost,1.0,-4.583300709724426,0.9994580547014872,408.095197143203,5.319852653138283,191.34040705362955,3.757790823777517
reads,GAM,1.0,-0.7849218146418937,0.5506006113728151,101914.08364554483,66568.2692931405,72846.38468036112,45685.14847344743
reads,LightGBM,1.0,-0.6354317707638847,0.050951445578092246,98470.28809130481,104627.92182764153,62799.629228872276,62929.98681835859
reads,Linear,1.0,-2.390271695235938,0.4315257222119227,119519.23774163908,75810.61002723117,81024.9351937463,54530.84833746564
reads,RF,1.0,-0.14851763727953413,0.759576472523444,95733.3745810595,49530.32149722086,54174.56508528119,30964.493356870884
reads,Ridge,1.0,-1.207161027026278,0.2687436938087124,101891.18653783454,89996.89788130899,65965.58380998253,54701.70275696472
reads,XGBoost,1.0,-0.22166999181111655,0.9999970197677612,98429.0582883726,75.0793513574782,54974.663411458336,57.35474859923124
shannon,GAM,1.0,-6.833991247918902,0.43166005899279486,0.6619363336193501,0.2436015414554652,0.5765609805110077,0.18137302621979257
shannon,LightGBM,1.0,-3.1978406276384272,0.04977999710958839,0.4656694399116317,0.3279274904208897,0.4086455064215095,0.2500180458112944
shannon,Linear,1.0,-6.50669957744683,0.33112049074785027,0.6517522677653945,0.2651068332642144,0.5731527596706066,0.20196998493566942
shannon,RF,1.0,-3.956767945719864,0.6631975899274559,0.5156363706623032,0.1912391498500736,0.4480688438133036,0.14709687137326682
shannon,Ridge,1.0,-3.651357250219212,0.16588776935358343,0.49937429127389726,0.30336331687940776,0.43418012349698515,0.22582572540904708
shannon,XGBoost,1.0,-5.201768701954786,0.9996494236081976,0.583626998214187,0.00498634360070774,0.5131410941227875,0.003960042413532107
simpson,GAM,1.0,-9.289691412189052,-0.07407261858987109,0.0303182118728126,0.012239980203112079,0.02222218806510319,0.008187265438895282
simpson,LightGBM,1.0,-2.2061905637926214,0.042920737010705014,0.013663627450557922,0.012321650911930354,0.009662554251185012,0.008320268741088587
simpson,Linear,1.0,-5.533006189027702,0.19056855327808578,0.01833307347655509,0.011471879089594164,0.014344134871325987,0.007463965914625468
simpson,RF,1.0,-3.46385517476757,0.6243226143692516,0.016788635777005293,0.007938465186546678,0.013079008730250747,0.005160105041600918
simpson,Ridge,1.0,-2.882643287119121,0.08271640709957728,0.014971817328666136,0.012094004272368758,0.011147994574169776,0.00789506065806553
simpson,XGBoost,1.0,-3.085235835914544,0.9962856131528951,0.016724962514167677,0.000729318862906126,0.01302164554182539,0.000558900162240593
zotu,GAM,1.0,-0.777432914608645,0.513029969231666,1761.6005748621837,946.4538457245152,1390.028072163118,726.0840314869378
zotu,LightGBM,1.0,-0.19140195747693522,0.0332734202308419,1540.093092451727,1431.3765515498865,1160.8866450094622,1030.012099284689
zotu,Linear,1.0,-0.864886826432595,0.3698582430636333,1829.5293000978747,1100.6283364315534,1411.122361997716,869.2289425219707
zotu,RF,1.0,-0.2558114403338126,0.7481779287365401,1566.9734510012493,710.8267058877715,1182.9843189730493,553.6293158307868
zotu,Ridge,1.0,-0.3472513986829308,0.21911957537164595,1607.9941493727983,1267.2639121251589,1197.3718696578342,916.5672246433323
zotu,XGBoost,1.0,-0.44574590524037677,0.99997611840566,1660.2438351830433,6.369355468750179,1265.0834554036458,4.969885508219401
