Target,Fold,Model,Observed,Predicted,Residual
shannon,0,LightGBM,5.79661991614,6.1143311394585504,-0.3177112233185504
shannon,1,LightGBM,5.72439582462,5.904448934503503,-0.1800531098835032
shannon,1,LightGBM,5.74247532082,5.904448934503503,-0.16197361368350371
shannon,1,LightGBM,6.01342181098,5.904448934503503,0.10897287647649634
shannon,1,LightGBM,5.664298732,5.904448934503503,-0.2401502025035036
shannon,1,LightGBM,5.72984960286,5.904448934503503,-0.1745993316435035
shannon,1,LightGBM,5.89810495653,5.904448934503503,-0.006343977973503279
shannon,1,LightGBM,5.91526443028,5.904448934503503,0.01081549577649632
shannon,1,LightGBM,5.7453156338,5.904448934503503,-0.15913330070350362
shannon,1,LightGBM,5.84000449241,5.904448934503503,-0.06444444209350308
shannon,1,LightGBM,6.31605638036,5.904448934503503,0.41160744585649667
shannon,1,LightGBM,6.04802261729,5.904448934503503,0.14357368278649663
shannon,2,LightGBM,6.25134718719,5.897753810342146,0.3535933768478543
shannon,2,LightGBM,6.27086162121,5.723791405412112,0.5470702157978877
shannon,2,LightGBM,6.66740652955,5.782556659931187,0.8848498696188134
shannon,2,LightGBM,6.84313360661,5.721488988780653,1.1216446178293475
shannon,2,LightGBM,6.09741761191,5.787187360459332,0.31023025145066807
shannon,2,LightGBM,6.55874087002,5.836686139191612,0.722054730828388
shannon,2,LightGBM,6.73184275341,5.662723734261578,1.0691190191484212
simpson,0,LightGBM,0.938177754776,0.9373535447650484,0.0008242100109515649
simpson,0,LightGBM,0.939416096543,0.9373535447650484,0.00206255177795156
simpson,0,LightGBM,0.93559701048,0.9373535447650484,-0.0017565342850484056
simpson,0,LightGBM,0.936423226717,0.9373535447650484,-0.0009303180480484396
simpson,0,LightGBM,0.939800335287,0.9373535447650484,0.002446790521951625
simpson,0,LightGBM,0.937258520197,0.9373535447650484,-9.502456804844073e-05
simpson,0,LightGBM,0.933267621583,0.9373535447650484,-0.004085923182048368
simpson,0,LightGBM,0.93744511836,0.9373535447650484,9.157359495159945e-05
simpson,0,LightGBM,0.931392749875,0.9373535447650484,-0.005960794890048415
simpson,0,LightGBM,0.936757400257,0.9373535447650484,-0.0005961445080483463
simpson,0,LightGBM,0.926929086007,0.9373535447650484,-0.010424458758048427
simpson,0,LightGBM,0.938271615336,0.9373535447650484,0.0009180705709516124
simpson,0,LightGBM,0.85617778182,0.9373535447650484,-0.08117576294504836
simpson,0,LightGBM,0.922147625068,0.9373535447650484,-0.015205919697048431
simpson,0,LightGBM,0.932329203141,0.9373535447650484,-0.005024341624048412
simpson,0,LightGBM,0.940708995346,0.9373535447650484,0.0033554505809516577
simpson,0,LightGBM,0.927158543728,0.9373535447650484,-0.010195001037048401
simpson,0,LightGBM,0.925305476118,0.9373535447650484,-0.012048068647048438
