Target,Model,Feature,mean,std,Importance_CV
shannon,LightGBM,Major_PC1,0.0,0.0,
shannon,LightGBM,Major_PC2,0.0,0.0,
shannon,LightGBM,Organic_PC1,0.010987880977618799,0.019031568120755345,1.7320508075688774
shannon,LightGBM,Organic_PC2,0.0007690942805165,0.0013321103696652087,1.7320508075688774
shannon,LightGBM,Sediment_PC1,0.009896587578706267,0.017141392507874307,1.732050807568877
shannon,LightGBM,Sediment_PC2,0.018998833168823132,0.032906944332926485,1.7320508075688776
shannon,LightGBM,Trace_PC1,0.0,0.0,
shannon,LightGBM,Trace_PC2,0.0065755787402185665,0.01138923646722831,1.7320508075688776
shannon,RF,Major_PC1,0.030296681788948,0.011632310120335389,0.38394667116907727
shannon,RF,Major_PC2,0.02116378701453647,0.001402465794974231,0.06626724196434879
shannon,RF,Organic_PC1,0.021280648982909833,0.010725154887238944,0.5039862692088082
shannon,RF,Organic_PC2,0.018630727712321667,0.023480119850675392,1.260290001186938
shannon,RF,Sediment_PC1,0.022445457957585364,0.021715019651985263,0.967457188577734
shannon,RF,Sediment_PC2,0.04114056241630927,0.01550189587763541,0.37680320751983754
shannon,RF,Trace_PC1,0.025253811563956466,0.028899407984862856,1.1443582649563115
shannon,RF,Trace_PC2,0.04248848652300569,0.048218204626939265,1.1348534290773378
shannon,XGBoost,Major_PC1,0.037385489791631664,0.020506210790855815,0.5485072124277989
shannon,XGBoost,Major_PC2,0.04069944533209,0.02421459212912753,0.5949612318189316
shannon,XGBoost,Organic_PC1,0.031025095842778638,0.03089441398722066,0.9957878661771034
shannon,XGBoost,Organic_PC2,0.030891173363973668,0.039677407793821506,1.2844254028917736
shannon,XGBoost,Sediment_PC1,0.058162428438663434,0.05580719893250102,0.9595059977826378
shannon,XGBoost,Sediment_PC2,0.042562767242391865,0.01876241556914627,0.4408175686109805
shannon,XGBoost,Trace_PC1,0.04049288729826606,0.033780913760540605,0.8342431477339264
shannon,XGBoost,Trace_PC2,0.07110978973408537,0.09116286140768981,1.2820015605248276
simpson,LightGBM,Major_PC1,0.0,0.0,
simpson,LightGBM,Major_PC2,0.0,0.0,
simpson,LightGBM,Organic_PC1,0.0005008058891248333,0.0008674212446939173,1.7320508075688776
simpson,LightGBM,Organic_PC2,0.0011368441352138,0.0019690718024770043,1.7320508075688774
simpson,LightGBM,Sediment_PC1,4.82948924401e-05,8.364920745232726e-05,1.7320508075688772
simpson,LightGBM,Sediment_PC2,0.0007589695390609999,0.0013145738030507835,1.7320508075688774
simpson,LightGBM,Trace_PC1,0.0,0.0,
simpson,LightGBM,Trace_PC2,3.64763088968e-05,6.317882028183428e-05,1.7320508075688776
simpson,RF,Major_PC1,0.0011118794276131,0.00040414829266936596,0.3634821210218463
simpson,RF,Major_PC2,0.002021732658192233,0.0019051361558325322,0.9423284271106559
simpson,RF,Organic_PC1,0.0006604003782548001,0.00034582227356319144,0.5236554746941166
simpson,RF,Organic_PC2,0.0018760879415795002,0.0010997023220438939,0.5861677897242076
simpson,RF,Sediment_PC1,0.00047456802963926665,0.00023230190030895166,0.48950179068221533
simpson,RF,Sediment_PC2,0.0007678929212045334,0.0005335300666603789,0.6947974801271408
