Target,Model,Group,MeanAbsSHAP,Contribution
Textulariida,RF,Trace Element Gradient (PC2),76.86442969513672,0.4619652192072495
Textulariida,XGBoost,Major Element Gradient (PC1),55.48142051696777,0.23384964524377433
Textulariida,XGBoost,Major Element Gradient (PC2),5.693065325419108,0.023995804258323483
Textulariida,XGBoost,Organic-Depth Gradient (PC1),10.258229414621988,0.043237597146687276
Textulariida,XGBoost,Organic-Depth Gradient (PC2),12.33025328318278,0.05197100811714697
Textulariida,XGBoost,Sediment Gradient (PC1),39.498805363972984,0.16648423086234979
Textulariida,XGBoost,Sediment Gradient (PC2),6.085007667541504,0.025647809142252245
Textulariida,XGBoost,Trace Element Gradient (PC1),12.350156625111898,0.05205489907390188
Textulariida,XGBoost,Trace Element Gradient (PC2),95.55559412638347,0.40275900615556404
reads,LightGBM,Major Element Gradient (PC1),0.0,0.0
reads,LightGBM,Major Element Gradient (PC2),2507.715508396977,0.11412731761465492
reads,LightGBM,Organic-Depth Gradient (PC1),556.6373940315456,0.025332830798435
reads,LightGBM,Organic-Depth Gradient (PC2),1169.3026056006688,0.05321551404462813
reads,LightGBM,Sediment Gradient (PC1),9244.018396329151,0.42069964476471305
reads,LightGBM,Sediment Gradient (PC2),2750.2506234649977,0.12516520529265907
reads,LightGBM,Trace Element Gradient (PC1),0.0,0.0
reads,LightGBM,Trace Element Gradient (PC2),5745.040059534708,0.2614594874849098
reads,RF,Major Element Gradient (PC1),7994.521000847868,0.17591612150980654
reads,RF,Major Element Gradient (PC2),5874.525279617971,0.12926649423925515
reads,RF,Organic-Depth Gradient (PC1),4558.850583794551,0.10031561780359328
reads,RF,Organic-Depth Gradient (PC2),5677.575681619349,0.12493269995575039
reads,RF,Sediment Gradient (PC1),5062.484695178188,0.111397877707001
reads,RF,Sediment Gradient (PC2),907.599713089065,0.019971355556275158
reads,RF,Trace Element Gradient (PC1),6946.293561442643,0.15285031111531686
reads,RF,Trace Element Gradient (PC2),8423.222580807664,0.18534952211300154
reads,XGBoost,Major Element Gradient (PC1),23468.907674153645,0.3403568394708814
reads,XGBoost,Major Element Gradient (PC2),2663.9889532725015,0.03863438695613977
reads,XGBoost,Organic-Depth Gradient (PC1),2863.11270904541,0.04152217078994289
reads,XGBoost,Organic-Depth Gradient (PC2),4142.144266764323,0.06007127177976672
reads,XGBoost,Sediment Gradient (PC1),11468.189290364584,0.16631692942492532
reads,XGBoost,Sediment Gradient (PC2),4366.4082438151045,0.06332365060778676
reads,XGBoost,Trace Element Gradient (PC1),10273.1826171875,0.1489863957641237
reads,XGBoost,Trace Element Gradient (PC2),9707.896321614584,0.14078835520643343
shannon,LightGBM,Major Element Gradient (PC1),0.0,0.0
shannon,LightGBM,Major Element Gradient (PC2),0.0,0.0
shannon,LightGBM,Organic-Depth Gradient (PC1),0.010987880977618799,0.23265619660255668
shannon,LightGBM,Organic-Depth Gradient (PC2),0.0007690942805165,0.016284718636670734
shannon,LightGBM,Sediment Gradient (PC1),0.009896587578706267,0.20954926888049388
shannon,LightGBM,Sediment Gradient (PC2),0.018998833168823132,0.4022792268999257
shannon,LightGBM,Trace Element Gradient (PC1),0.0,0.0
shannon,LightGBM,Trace Element Gradient (PC2),0.0065755787402185665,0.13923058898035304
shannon,RF,Major Element Gradient (PC1),0.030296681788948,0.1360424763515119
shannon,RF,Major Element Gradient (PC2),0.02116378701453647,0.09503265124842197
shannon,RF,Organic-Depth Gradient (PC1),0.021280648982909833,0.09555740150587834
shannon,RF,Organic-Depth Gradient (PC2),0.018630727712321667,0.08365834753360911
shannon,RF,Sediment Gradient (PC1),0.022445457957585364,0.10078779269179135
shannon,RF,Sediment Gradient (PC2),0.04114056241630927,0.1847352138626068
shannon,RF,Trace Element Gradient (PC1),0.025253811563956466,0.11339826210698635
shannon,RF,Trace Element Gradient (PC2),0.04248848652300569,0.1907878546991942
shannon,XGBoost,Major Element Gradient (PC1),0.037385489791631664,0.10610957831043703
shannon,XGBoost,Major Element Gradient (PC2),0.04069944533209,0.11551543140738595
shannon,XGBoost,Organic-Depth Gradient (PC1),0.031025095842778638,0.08805715413296594
shannon,XGBoost,Organic-Depth Gradient (PC2),0.030891173363973668,0.0876770478983951
shannon,XGBoost,Sediment Gradient (PC1),0.058162428438663434,0.16507984219372168
shannon,XGBoost,Sediment Gradient (PC2),0.042562767242391865,0.12080401538102657
shannon,XGBoost,Trace Element Gradient (PC1),0.04049288729826606,0.1149291668970679
shannon,XGBoost,Trace Element Gradient (PC2),0.07110978973408537,0.20182776377899977
simpson,LightGBM,Major Element Gradient (PC1),0.0,0.0
simpson,LightGBM,Major Element Gradient (PC2),0.0,0.0
simpson,LightGBM,Organic-Depth Gradient (PC1),0.0005008058891248333,0.20182467680700325
simpson,LightGBM,Organic-Depth Gradient (PC2),0.0011368441352138,0.4581479674099242
simpson,LightGBM,Sediment Gradient (PC1),4.82948924401e-05,0.019462832346451412
simpson,LightGBM,Sediment Gradient (PC2),0.0007589695390609999,0.3058645779805605
simpson,LightGBM,Trace Element Gradient (PC1),0.0,0.0
simpson,LightGBM,Trace Element Gradient (PC2),3.64763088968e-05,0.014699945456060789
simpson,RF,Major Element Gradient (PC1),0.0011118794276131,0.1365564223375728
simpson,RF,Major Element Gradient (PC2),0.002021732658192233,0.24830082459429217
simpson,RF,Organic-Depth Gradient (PC1),0.0006604003782548001,0.08110763696604328
simpson,RF,Organic-Depth Gradient (PC2),0.0018760879415795002,0.23041334422629933
simpson,RF,Sediment Gradient (PC1),0.00047456802963926665,0.05828447822121207
simpson,RF,Sediment Gradient (PC2),0.0007678929212045334,0.09430942551311157
simpson,RF,Trace Element Gradient (PC1),0.0006766064344539668,0.0830979976110915
