Target,Fold,Group,PC,Variable,Loading
zotu,1,Major,PC1,SiO2,-0.3610920140693368
zotu,1,Major,PC1,K2O,0.48057260583307565
zotu,1,Major,PC1,CaO,-0.10549208175512706
zotu,1,Major,PC1,Fe2O3,0.4449977773514124
zotu,1,Major,PC2,Na2O,0.6701190058811541
zotu,1,Major,PC2,MgO,-0.4384431521947481
zotu,1,Major,PC2,Al2O3,-0.10606337156059213
zotu,1,Major,PC2,SiO2,-0.33821319495108365
zotu,1,Major,PC2,K2O,-0.1054761494399479
zotu,1,Major,PC2,CaO,-0.46424642199946237
zotu,1,Major,PC2,Fe2O3,-0.08012838313971819
zotu,1,Trace,PC1,Sc,-0.0419862867546096
zotu,1,Trace,PC1,Ti,-0.3534310571639343
zotu,1,Trace,PC1,V,-0.3206406750528012
zotu,1,Trace,PC1,Cr,-0.3735214237943168
zotu,1,Trace,PC1,Mn,0.4285514100142893
zotu,1,Trace,PC1,Co,0.2027456545046801
zotu,1,Trace,PC1,Ni,0.44413957352874756
zotu,1,Trace,PC1,Cu,0.38880861332070354
zotu,1,Trace,PC1,Zn,0.10556632645969025
zotu,1,Trace,PC1,Ga,0.050121265629695294
zotu,1,Trace,PC1,As,-0.03154044331220957
zotu,1,Trace,PC1,Rb,-0.20772468052115156
zotu,1,Trace,PC2,Sc,0.2903286888131977
zotu,1,Trace,PC2,Ti,0.3274830412619677
zotu,1,Trace,PC2,V,0.35078404570650634
zotu,1,Trace,PC2,Cr,0.19022580220036509
zotu,1,Trace,PC2,Mn,0.08848789547577174
zotu,1,Trace,PC2,Co,0.37672798147921743
zotu,1,Trace,PC2,Ni,0.04895200247224748
zotu,1,Trace,PC2,Cu,0.14777981324800904
zotu,1,Trace,PC2,Zn,0.4486781891972213
zotu,1,Trace,PC2,Ga,0.3969905625591713
zotu,1,Trace,PC2,As,-0.27453600490276725
zotu,1,Trace,PC2,Rb,-0.2023756753113159
zotu,1,Organic,PC1,Chlorophyll a,-0.1740674304214124
zotu,1,Organic,PC1,Depth,-0.003743018114375463
zotu,1,Organic,PC1,N,0.5645184100939136
zotu,1,Organic,PC1,C,0.5596710648894131
zotu,1,Organic,PC1,S1,0.5419426255704167
