Target,Fold,Group,PC,ExplainedVarianceRatio
Rotaliida,4,Trace,PC2,0.26546308165623106
Rotaliida,4,Organic,PC1,0.36007100527748304
Rotaliida,4,Organic,PC2,0.21779511085493342
Textulariida,0,Sediment,PC1,0.6079485491620205
Textulariida,0,Sediment,PC2,0.2517391127520033
Textulariida,0,Major,PC1,0.5350120711480384
Textulariida,0,Major,PC2,0.22424818176769198
Textulariida,0,Trace,PC1,0.3675861484718488
Textulariida,0,Trace,PC2,0.2446312414932678
Textulariida,0,Organic,PC1,0.35224152948027193
Textulariida,0,Organic,PC2,0.21460662987001683
Textulariida,1,Sediment,PC1,0.6166697238849834
Textulariida,1,Sediment,PC2,0.2788853938050526
Textulariida,1,Major,PC1,0.5399941571749127
Textulariida,1,Major,PC2,0.20562171618413752
Textulariida,1,Trace,PC1,0.3798725677146045
Textulariida,1,Trace,PC2,0.26297549831042444
Textulariida,1,Organic,PC1,0.3866711237265266
Textulariida,1,Organic,PC2,0.20157491482526682
Textulariida,2,Sediment,PC1,0.6060468833643767
Textulariida,2,Sediment,PC2,0.33488904231829286
Textulariida,2,Major,PC1,0.4984972548629905
Textulariida,2,Major,PC2,0.24038998510052503
Textulariida,2,Trace,PC1,0.4403229273337855
Textulariida,2,Trace,PC2,0.2281246206123667
Textulariida,2,Organic,PC1,0.3573020246001942
Textulariida,2,Organic,PC2,0.1874184633941196
Textulariida,3,Sediment,PC1,0.6108369241501829
Textulariida,3,Sediment,PC2,0.28016890042184867
Textulariida,3,Major,PC1,0.5202710838569543
Textulariida,3,Major,PC2,0.24169111848949884
Textulariida,3,Trace,PC1,0.36685655847233695
Textulariida,3,Trace,PC2,0.2361855583611644
Textulariida,3,Organic,PC1,0.3704224230394601
Textulariida,3,Organic,PC2,0.19860221865708458
Textulariida,4,Sediment,PC1,0.6142934048447951
Textulariida,4,Sediment,PC2,0.27962774628114445
Textulariida,4,Major,PC1,0.473970199045372
Textulariida,4,Major,PC2,0.28099185026408635
Textulariida,4,Trace,PC1,0.31535618897024614
Textulariida,4,Trace,PC2,0.26546308165623106
Textulariida,4,Organic,PC1,0.36007100527748304
Textulariida,4,Organic,PC2,0.21779511085493342
Monothalamida,0,Sediment,PC1,0.6079485491620205
Monothalamida,0,Sediment,PC2,0.2517391127520033
Monothalamida,0,Major,PC1,0.5350120711480384
Monothalamida,0,Major,PC2,0.22424818176769198
