Target,Model,Group,MeanAbsSHAP,Contribution
Textulariida,RF,Trace Element Gradient (PC2),38.3135395205078,0.2483383094416972
Textulariida,XGBoost,Major Element Gradient (PC1),58.71117343902588,0.28786588834879895
Textulariida,XGBoost,Major Element Gradient (PC2),15.37236750125885,0.07537202831365361
Textulariida,XGBoost,Organic-Depth Gradient (PC1),7.648352384567261,0.03750052374399689
Textulariida,XGBoost,Organic-Depth Gradient (PC2),6.766085124015808,0.033174692154487456
Textulariida,XGBoost,Sediment Gradient (PC1),59.39518356323242,0.29121964829789593
Textulariida,XGBoost,Sediment Gradient (PC2),8.288285255432129,0.04063816916248657
Textulariida,XGBoost,Trace Element Gradient (PC1),9.990999603271485,0.048986722761982716
Textulariida,XGBoost,Trace Element Gradient (PC2),37.78076820373535,0.1852423272166979
reads,LightGBM,Major Element Gradient (PC1),0.0,
reads,LightGBM,Major Element Gradient (PC2),0.0,
reads,LightGBM,Organic-Depth Gradient (PC1),0.0,
reads,LightGBM,Organic-Depth Gradient (PC2),0.0,
reads,LightGBM,Sediment Gradient (PC1),0.0,
reads,LightGBM,Sediment Gradient (PC2),0.0,
reads,LightGBM,Trace Element Gradient (PC1),0.0,
reads,LightGBM,Trace Element Gradient (PC2),0.0,
reads,RF,Major Element Gradient (PC1),11298.05549069196,0.22280242952716786
reads,RF,Major Element Gradient (PC2),8324.005548829064,0.16415290765784285
reads,RF,Organic-Depth Gradient (PC1),2924.2135869351378,0.05766672788625149
reads,RF,Organic-Depth Gradient (PC2),5106.669441844991,0.10070567978468353
reads,RF,Sediment Gradient (PC1),7882.320999942191,0.15544270167083196
reads,RF,Sediment Gradient (PC2),1595.0367233137843,0.03145479834402891
reads,RF,Trace Element Gradient (PC1),7326.55361275215,0.14448273389408284
reads,RF,Trace Element Gradient (PC2),6251.996894423434,0.12329202123511046
reads,XGBoost,Major Element Gradient (PC1),17822.109619140625,0.23963697852385196
reads,XGBoost,Major Element Gradient (PC2),5465.815478515625,0.07349362866861016
reads,XGBoost,Organic-Depth Gradient (PC1),5766.3677734375,0.07753486987869317
reads,XGBoost,Organic-Depth Gradient (PC2),3451.30498046875,0.04640641961912327
reads,XGBoost,Sediment Gradient (PC1),13016.407861328125,0.17501927200429782
reads,XGBoost,Sediment Gradient (PC2),5844.613452148437,0.07858696519341951
reads,XGBoost,Trace Element Gradient (PC1),9457.79990234375,0.12717005116199734
reads,XGBoost,Trace Element Gradient (PC2),13546.864233398437,0.18215181495000682
shannon,LightGBM,Major Element Gradient (PC1),0.0,
shannon,LightGBM,Major Element Gradient (PC2),0.0,
shannon,LightGBM,Organic-Depth Gradient (PC1),0.0,
shannon,LightGBM,Organic-Depth Gradient (PC2),0.0,
shannon,LightGBM,Sediment Gradient (PC1),0.0,
shannon,LightGBM,Sediment Gradient (PC2),0.0,
shannon,LightGBM,Trace Element Gradient (PC1),0.0,
shannon,LightGBM,Trace Element Gradient (PC2),0.0,
shannon,RF,Major Element Gradient (PC1),0.017819262762273403,0.0954102418849184
shannon,RF,Major Element Gradient (PC2),0.02581512012408304,0.13822271371078607
shannon,RF,Organic-Depth Gradient (PC1),0.02906602385609298,0.15562913032597495
shannon,RF,Organic-Depth Gradient (PC2),0.014356969580042239,0.07687197605427107
shannon,RF,Sediment Gradient (PC1),0.028884370606698878,0.1546564985905831
shannon,RF,Sediment Gradient (PC2),0.032504279187661175,0.1740386895329676
shannon,RF,Trace Element Gradient (PC1),0.01641391387300482,0.08788553790324198
shannon,RF,Trace Element Gradient (PC2),0.02190473443332102,0.11728521199725676
shannon,XGBoost,Major Element Gradient (PC1),0.0351228099316358,0.09423152350978213
shannon,XGBoost,Major Element Gradient (PC2),0.04363157656043764,0.11705982352853998
shannon,XGBoost,Organic-Depth Gradient (PC1),0.05140817761421198,0.13792378533715613
shannon,XGBoost,Organic-Depth Gradient (PC2),0.04081711955368514,0.10950887381479886
shannon,XGBoost,Sediment Gradient (PC1),0.08420372605323787,0.22591146342337629
shannon,XGBoost,Sediment Gradient (PC2),0.05119420923292632,0.13734972629715578
shannon,XGBoost,Trace Element Gradient (PC1),0.03165168054401868,0.08491877743020032
shannon,XGBoost,Trace Element Gradient (PC2),0.03469957746565338,0.0930960266589905
simpson,LightGBM,Major Element Gradient (PC1),0.0,
simpson,LightGBM,Major Element Gradient (PC2),0.0,
simpson,LightGBM,Organic-Depth Gradient (PC1),0.0,
simpson,LightGBM,Organic-Depth Gradient (PC2),0.0,
simpson,LightGBM,Sediment Gradient (PC1),0.0,
simpson,LightGBM,Sediment Gradient (PC2),0.0,
simpson,LightGBM,Trace Element Gradient (PC1),0.0,
simpson,LightGBM,Trace Element Gradient (PC2),0.0,
simpson,RF,Major Element Gradient (PC1),0.00077276726869322,0.10936047978906828
simpson,RF,Major Element Gradient (PC2),0.0005456565341501599,0.07722022242946633
simpson,RF,Organic-Depth Gradient (PC1),0.000541836834569814,0.07667966617704751
simpson,RF,Organic-Depth Gradient (PC2),0.00116261344626904,0.16453073188284728
simpson,RF,Sediment Gradient (PC1),0.0007915541587000001,0.11201916292449693
