Target,Model,Feature,MeanAbsSHAP
simpson,XGBoost,Organic_PC2,0.0015040323603897798
simpson,XGBoost,Sediment_PC1,0.0012626458832528
simpson,XGBoost,Sediment_PC2,0.00161716507282104
simpson,XGBoost,Trace_PC1,0.00129467629012648
simpson,XGBoost,Trace_PC2,0.001631667552283
zotu,LightGBM,Major_PC1,0.0
zotu,LightGBM,Major_PC2,0.0
zotu,LightGBM,Organic_PC1,0.0
zotu,LightGBM,Organic_PC2,0.0
zotu,LightGBM,Sediment_PC1,0.0
zotu,LightGBM,Sediment_PC2,0.0
zotu,LightGBM,Trace_PC1,0.0
zotu,LightGBM,Trace_PC2,0.0
zotu,RF,Major_PC1,150.76679284912643
zotu,RF,Major_PC2,127.28504810156588
zotu,RF,Organic_PC1,88.26409628232109
zotu,RF,Organic_PC2,89.03743541456353
zotu,RF,Sediment_PC1,72.62195214261915
zotu,RF,Sediment_PC2,18.140673449210066
zotu,RF,Trace_PC1,69.800653828994
zotu,RF,Trace_PC2,96.87086247003232
zotu,XGBoost,Major_PC1,237.98190002441407
zotu,XGBoost,Major_PC2,310.7071197509766
zotu,XGBoost,Organic_PC1,139.60932807922364
zotu,XGBoost,Organic_PC2,150.46685409545898
zotu,XGBoost,Sediment_PC1,169.7141082763672
zotu,XGBoost,Sediment_PC2,69.60307235717774
zotu,XGBoost,Trace_PC1,197.32522621154786
zotu,XGBoost,Trace_PC2,119.65142440795898
